Sno.	Question (100 words)	Answer (Max 2000 words)	Question Category (Refer Sheet 2)	Applicable to Pathways	Pathway Stage	Source of Data (Preferable URL)	Actual Excerpt from the Source Data	Hospitals Applicable	Date	Author Name	Reviewed By	Expiry Date
1723	When is anastrozole prescribed for breast cancer treatment?	Anastrozole is prescribed for women who have been through menopause and have oestrogen receptor positive (ER+) breast cancer. It may be given after surgery to reduce the risk of cancer returning, or as a first treatment when surgery is not immediately possible. It can also be used for local recurrence, locally advanced, or secondary (metastatic) breast cancer.	CANCER_TREATMENT	Breast Cancer	All Stages	bcc31-anastrozole-2022-web-pdf.pdf	Anastrozole is suitable for women who have been through the menopause and whose breast cancer is oestrogen receptor positive.	All	2025-12-11	Healthcare AI Team		
1724	How is anastrozole taken?	Anastrozole is taken as a tablet once a day, with or without food. It’s best to take it at the same time every day. If you miss a dose, do not take an extra dose the next day.	MEDICATION	Breast Cancer	All Stages	bcc31-anastrozole-2022-web-pdf.pdf	Anastrozole is taken as a tablet once a day, with or without food. It’s best to take it at the same time every day.	All	2025-12-11	Healthcare AI Team		
1725	How long will I need to take anastrozole?	The duration of anastrozole treatment depends on your individual situation. For primary breast cancer, it is usually taken for five to ten years. For breast cancer that has come back or spread, it is taken as long as it remains effective and side effects are manageable. For risk reduction in those with a family history, it is usually taken for five years.	MEDICATION	Breast Cancer	All Stages	bcc31-anastrozole-2022-web-pdf.pdf	The recommended length of time that anastrozole is taken for will depend on your individual situation.	All	2025-12-11	Healthcare AI Team		
1726	What are the common side effects of anastrozole?	Common side effects of anastrozole include aching or pain in the joints and muscles, hot flushes, night sweats, low sex drive, vaginal dryness, low mood, depression, extreme tiredness, difficulty sleeping, and osteoporosis. These side effects vary in severity and duration among individuals.	SIDE_EFFECTS	Breast Cancer	All Stages	bcc31-anastrozole-2022-web-pdf.pdf	Common side effects Aching or pain in the joints and muscles Aching or pain in the joints and muscles is often mild and temporary, although for some people it’s more severe and longer lasting.	All	2025-12-11	Healthcare AI Team		
1727	How can I manage joint and muscle pain caused by anastrozole?	Joint and muscle pain can often be managed with mild pain relief like paracetamol or anti-inflammatory drugs such as ibuprofen. Gentle exercises like yoga, pilates, or brisk walking may also help. If the pain is severe, consult a pain management specialist.	SIDE_EFFECTS	Breast Cancer	All Stages	bcc31-anastrozole-2022-web-pdf.pdf	It can usually be relieved with mild pain relief like paracetamol or an anti-inflammatory drug such as ibuprofen.	All	2025-12-11	Healthcare AI Team		
1728	What can I do about hot flushes and night sweats from anastrozole?	Hot flushes and night sweats are common side effects. Simple measures like keeping your room cool, wearing lightweight clothing, and avoiding triggers like spicy foods may help. If these symptoms disrupt your sleep, talk to your doctor about possible treatments.	SIDE_EFFECTS	Breast Cancer	All Stages	bcc31-anastrozole-2022-web-pdf.pdf	Hot flushes and night sweats are common side effects of anastrozole.	All	2025-12-11	Healthcare AI Team		
1729	How can I deal with vaginal dryness caused by anastrozole?	Vaginal dryness can be managed with vaginal moisturisers and lubricants, which can be prescribed by your GP or purchased over the counter. It’s important to discuss any discomfort with your healthcare provider.	SIDE_EFFECTS	Breast Cancer	All Stages	bcc31-anastrozole-2022-web-pdf.pdf	There are a number of treatments that can help with vaginal dryness, including vaginal moisturisers and lubricants.	All	2025-12-11	Healthcare AI Team		
1730	What should I do if I feel low or depressed while taking anastrozole?	Feeling low or depressed can be a side effect of anastrozole. Talk to your GP or treatment team about your symptoms. They may suggest counselling, mindfulness, exercise, or antidepressant medication to help manage your mood.	SIDE_EFFECTS	Breast Cancer	All Stages	bcc31-anastrozole-2022-web-pdf.pdf	Many people feel low or depressed. It can be difficult to know whether this is because of the medication or other reasons such as menopausal symptoms or dealing with the diagnosis of cancer.	All	2025-12-11	Healthcare AI Team		
1731	How can I cope with extreme tiredness from anastrozole?	Extreme tiredness or fatigue is a common side effect. Rest when you need to, pace your activities, and consider gentle exercise. If fatigue persists, discuss it with your GP or treatment team to rule out other causes like anaemia.	SIDE_EFFECTS	Breast Cancer	All Stages	bcc31-anastrozole-2022-web-pdf.pdf	Extreme tiredness Cancer-related fatigue is extreme tiredness and exhaustion that doesn’t go away with rest or sleep.	All	2025-12-11	Healthcare AI Team		
1732	What can I do if I have difficulty sleeping while taking anastrozole?	If you have difficulty sleeping, try limiting caffeine in the afternoon and evening, keep your room dark and quiet, and maintain a regular sleep schedule. Relaxation exercises or prescribed sleep aids may also help.	SIDE_EFFECTS	Breast Cancer	All Stages	bcc31-anastrozole-2022-web-pdf.pdf	If you have difficulty sleeping (insomnia), some simple things like limiting caffeine in the afternoon and evening, keeping your room dark and quiet, and going to bed and getting up at a set time each day may help.	All	2025-12-11	Healthcare AI Team		
1733	How does anastrozole affect bone health?	Anastrozole can lead to a reduction in oestrogen levels, which may cause osteoporosis (thinning of the bone). Your specialist may check your bone density with a scan and recommend calcium and vitamin D supplements, along with weight-bearing exercises to help maintain bone health.	SIDE_EFFECTS	Breast Cancer	All Stages	bcc31-anastrozole-2022-web-pdf.pdf	Anastrozole reduces the amount of oestrogen in the body. A lack of oestrogen over time can cause osteoporosis.	All	2025-12-11	Healthcare AI Team		
1734	Can I switch to a different medication if anastrozole isn’t working for me?	Yes, if anastrozole isn’t working well for you or if you experience severe side effects, your specialist may suggest switching to another aromatase inhibitor like letrozole or exemestane, or another hormone treatment like tamoxifen.	MEDICATION	Breast Cancer	All Stages	bcc31-anastrozole-2022-web-pdf.pdf	Your specialist may suggest changing to a different aromatase inhibitor such as letrozole or exemestane, or another hormone treatment, as some women get on better with a different drug.	All	2025-12-11	Healthcare AI Team		
1735	Are there any dietary considerations while taking anastrozole?	While there are no specific dietary restrictions for anastrozole, maintaining a balanced diet rich in calcium and vitamin D can help support bone health. Avoid excessive caffeine if it affects your sleep.	NUTRITION	Breast Cancer	All Stages	bcc31-anastrozole-2022-web-pdf.pdf	To help keep your bones healthy you can increase your intake of calcium and vitamin D.	All	2025-12-11	Healthcare AI Team		
1736	Can men take anastrozole for breast cancer?	Yes, men with breast cancer may be given anastrozole, although another drug called tamoxifen is more commonly used. Discuss with your specialist to determine the best treatment option for you.	MEDICATION	Breast Cancer	All Stages	bcc31-anastrozole-2022-web-pdf.pdf	Men with breast cancer may be given anastrozole, although another drug called tamoxifen is more commonly used.	All	2025-12-11	Healthcare AI Team		
1737	What should I do if I miss a dose of anastrozole?	If you miss a dose of anastrozole, do not take an extra dose the next day. The level of drug in your body will remain high enough from the previous day’s dose.	MEDICATION	Breast Cancer	All Stages	bcc31-anastrozole-2022-web-pdf.pdf	If you miss a dose, you do not need to take an extra dose the next day. The level of drug in your body will remain high enough from the day before.	All	2025-12-11	Healthcare AI Team		
1738	Can anastrozole be taken with other medications?	Anastrozole can generally be taken with other medications, but it’s important to inform your healthcare provider about all the medications you are taking to avoid potential interactions. Some brands of anastrozole contain small amounts of lactose, so inform your provider if you are lactose intolerant.	MEDICATION	Breast Cancer	All Stages	bcc31-anastrozole-2022-web-pdf.pdf	Some brands of anastrozole contain small amounts of lactose. If you know you are lactose intolerant discuss this with your treatment team or pharmacist.	All	2025-12-11	Healthcare AI Team		
1739	How often should I have my bone density checked while on anastrozole?	Your bone density may be checked before starting anastrozole and then after two to five years, depending on the initial scan results and your specialist’s concerns. If you are on bisphosphonates, you may not need additional scans.	FOLLOW_UP_CARE	Breast Cancer	All Stages	bcc31-anastrozole-2022-web-pdf.pdf	Your bone density may be checked after two to five years while you’re taking anastrozole, depending on the results from the initial scan or whether your specialist has any concerns.	All	2025-12-11	Healthcare AI Team		
